,date,location,total_vaccinations,total_vaccinations_per_hundred,total_distributed,distributed_per_hundred,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,total_boosters,total_boosters_per_hundred
357,2022-01-04,Alabama,5678299.0,115.81,8027420.0,163.72,2884819.0,58.84,2345599.0,47.84,10478.0,2137.0,603124.0,12.3
358,2022-01-05,Alabama,5681793.0,115.88,8071240.0,164.61,2886070.0,58.86,2346404.0,47.85,10508.0,2143.0,604626.0,12.33
359,2022-01-06,Alabama,5695747.0,116.16,8391130.0,171.14,2890246.0,58.95,2349085.0,47.91,10216.0,2084.0,611874.0,12.48
360,2022-01-07,Alabama,5710373.0,116.46,8391130.0,171.14,2894430.0,59.03,2351731.0,47.96,10761.0,2195.0,619829.0,12.64
361,2022-01-08,Alabama,5723382.0,116.73,8498480.0,173.33,2898115.0,59.11,2354087.0,48.01,11075.0,2259.0,627028.0,12.79
362,2022-01-09,Alabama,5731467.0,116.89,8499980.0,173.36,2900267.0,59.15,2355660.0,48.04,10685.0,2179.0,631515.0,12.88
363,2022-01-10,Alabama,5742343.0,117.11,8499580.0,173.35,2903320.0,59.21,2357727.0,48.09,10694.0,2181.0,637400.0,13.0
364,2022-01-11,Alabama,5747337.0,117.22,8582180.0,175.03,2904923.0,59.25,2358758.0,48.11,9863.0,2012.0,639783.0,13.05
365,2022-01-12,Alabama,5761529.0,117.51,8622020.0,175.85,2908943.0,59.33,2361490.0,48.16,11391.0,2323.0,647357.0,13.2
366,2022-01-13,Alabama,5771935.0,117.72,8642820.0,176.27,2912053.0,59.39,2363643.0,48.21,10884.0,2220.0,652629.0,13.31
367,2022-01-14,Alabama,5795157.0,118.19,8667990.0,176.78,2919436.0,59.54,2369558.0,48.33,12112.0,2470.0,663227.0,13.53
368,2022-01-15,Alabama,5805754.0,118.41,8707560.0,177.59,2922396.0,59.6,2371514.0,48.37,11767.0,2400.0,669006.0,13.64
371,2022-01-18,Alabama,5820951.0,118.72,8710160.0,177.64,2927217.0,59.7,2374104.0,48.42,10516.0,2145.0,676917.0,13.81
372,2022-01-19,Alabama,5828843.0,118.88,8727360.0,177.99,2962441.0,60.42,2396308.0,48.87,9616.0,1961.0,630356.0,12.86
373,2022-01-20,Alabama,5831563.0,118.93,8736560.0,178.18,2963667.0,60.44,2397146.0,48.89,8518.0,1737.0,631073.0,12.87
374,2022-01-21,Alabama,5851443.0,119.34,8764630.0,178.75,2969685.0,60.57,2401094.0,48.97,8041.0,1640.0,641471.0,13.08
375,2022-01-22,Alabama,5851604.0,119.34,8795830.0,179.39,2969945.0,60.57,2401192.0,48.97,6550.0,1336.0,641283.0,13.08
376,2022-01-23,Alabama,5908517.0,120.5,8798430.0,179.44,2985706.0,60.89,2411652.0,49.19,13957.0,2847.0,672921.0,13.72
377,2022-01-24,Alabama,5910491.0,120.54,8798530.0,179.45,2986497.0,60.91,2412148.0,49.2,13515.0,2756.0,673617.0,13.74
378,2022-01-25,Alabama,5919745.0,120.73,8824030.0,179.97,2989103.0,60.96,2414385.0,49.24,14113.0,2878.0,678094.0,13.83
379,2022-01-26,Alabama,5933422.0,121.01,8840730.0,180.31,2992597.0,61.03,2417639.0,49.31,14940.0,3047.0,685126.0,13.97
380,2022-01-27,Alabama,5935375.0,121.05,8855430.0,180.61,2993196.0,61.05,2418268.0,49.32,14830.0,3025.0,685883.0,13.99
381,2022-01-28,Alabama,5947386.0,121.3,8874230.0,180.99,2996356.0,61.11,2421487.0,49.39,13706.0,2795.0,691609.0,14.11
382,2022-01-29,Alabama,5948950.0,121.33,8897300.0,181.46,2996882.0,61.12,2421967.0,49.4,13907.0,2836.0,692194.0,14.12
383,2022-01-30,Alabama,5956347.0,121.48,8897300.0,181.46,2998983.0,61.16,2423893.0,49.44,6833.0,1394.0,695654.0,14.19
384,2022-01-31,Alabama,5960126.0,121.56,8897300.0,181.46,3000205.0,61.19,2425057.0,49.46,7091.0,1446.0,697064.0,14.22
385,2022-02-01,Alabama,5964639.0,121.65,8903600.0,181.59,3001733.0,61.22,2426408.0,49.49,6413.0,1308.0,698716.0,14.25
386,2022-02-02,Alabama,5969396.0,121.75,8913200.0,181.78,3003096.0,61.25,2427838.0,49.52,5139.0,1048.0,700723.0,14.29
387,2022-02-03,Alabama,5975361.0,121.87,8924900.0,182.02,3004743.0,61.28,2429527.0,49.55,5712.0,1165.0,703395.0,14.35
388,2022-02-04,Alabama,5981709.0,122.0,8927700.0,182.08,3006718.0,61.32,2431444.0,49.59,4903.0,1000.0,705904.0,14.4
389,2022-02-05,Alabama,5987026.0,122.1,8932500.0,182.18,3008488.0,61.36,2433084.0,49.62,5439.0,1109.0,707890.0,14.44
390,2022-02-06,Alabama,5990880.0,122.18,8934700.0,182.22,3009912.0,61.39,2434307.0,49.65,4933.0,1006.0,709150.0,14.46
391,2022-02-07,Alabama,5993802.0,122.24,8934700.0,182.22,3010724.0,61.4,2435296.0,49.67,4811.0,981.0,710290.0,14.49
392,2022-02-08,Alabama,6001038.0,122.39,8941300.0,182.36,3012729.0,61.44,2437859.0,49.72,5200.0,1061.0,713025.0,14.54
