,date,location,total_vaccinations,total_vaccinations_per_hundred,total_distributed,distributed_per_hundred,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,total_boosters,total_boosters_per_hundred
263,2021-10-02,Alabama,4544355.0,92.68,6738280.0,137.43,2586950.0,52.76,2094920.0,42.73,10431.0,2127.0,2985.0,0.06
264,2021-10-03,Alabama,4565230.0,93.11,6736650.0,137.39,2592096.0,52.87,2103203.0,42.89,11389.0,2323.0,10683.0,0.22
265,2021-10-04,Alabama,4579477.0,93.4,6736230.0,137.38,2595947.0,52.94,2109349.0,43.02,12178.0,2484.0,14974.0,0.31
266,2021-10-05,Alabama,4584378.0,93.5,6742810.0,137.52,2597448.0,52.97,2111925.0,43.07,10470.0,2135.0,15821.0,0.32
267,2021-10-06,Alabama,4594736.0,93.71,6757960.0,137.83,2600070.0,53.03,2115732.0,43.15,11500.0,2345.0,19856.0,0.4
268,2021-10-07,Alabama,4604007.0,93.9,6781040.0,138.3,2602402.0,53.08,2118943.0,43.22,10200.0,2080.0,23696.0,0.48
269,2021-10-08,Alabama,4624892.0,94.32,6829510.0,139.29,2608058.0,53.19,2126766.0,43.38,12874.0,2626.0,31360.0,0.64
270,2021-10-09,Alabama,4630089.0,94.43,6858210.0,139.87,2609534.0,53.22,2128926.0,43.42,12248.0,2498.0,33007.0,0.67
273,2021-10-12,Alabama,4657171.0,94.98,6864150.0,139.99,2616672.0,53.37,2139547.0,43.64,10399.0,2121.0,42621.0,0.87
274,2021-10-13,Alabama,4660146.0,95.04,6884990.0,140.42,2617643.0,53.39,2140724.0,43.66,9344.0,1906.0,43473.0,0.89
275,2021-10-14,Alabama,4669623.0,95.24,6900590.0,140.74,2620146.0,53.44,2144120.0,43.73,9374.0,1912.0,47184.0,0.96
276,2021-10-15,Alabama,4677864.0,95.4,6916550.0,141.06,2622428.0,53.48,2147033.0,43.79,7567.0,1543.0,50387.0,1.03
277,2021-10-16,Alabama,4688180.0,95.61,6945360.0,141.65,2625208.0,53.54,2150508.0,43.86,8299.0,1693.0,54596.0,1.11
278,2021-10-17,Alabama,4703456.0,95.93,6937340.0,141.49,2629346.0,53.63,2155609.0,43.96,9191.0,1874.0,60775.0,1.24
279,2021-10-18,Alabama,4709775.0,96.06,6936920.0,141.48,2631267.0,53.66,2157856.0,44.01,8804.0,1796.0,62992.0,1.28
280,2021-10-19,Alabama,4714057.0,96.14,6946650.0,141.68,2632750.0,53.69,2159523.0,44.04,8127.0,1657.0,64151.0,1.31
281,2021-10-20,Alabama,4722919.0,96.32,6981680.0,142.39,2634995.0,53.74,2162284.0,44.1,8968.0,1829.0,68128.0,1.39
282,2021-10-21,Alabama,4732829.0,96.53,6999770.0,142.76,2637734.0,53.8,2165154.0,44.16,9029.0,1841.0,72537.0,1.48
283,2021-10-22,Alabama,4742444.0,96.72,7045270.0,143.69,2644229.0,53.93,2170323.0,44.26,9226.0,1882.0,70977.0,1.45
284,2021-10-23,Alabama,4759947.0,97.08,7062480.0,144.04,2648588.0,54.02,2174923.0,44.36,10252.0,2091.0,79836.0,1.63
285,2021-10-24,Alabama,4766186.0,97.21,7061780.0,144.02,2650133.0,54.05,2176540.0,44.39,8961.0,1828.0,83012.0,1.69
286,2021-10-25,Alabama,4773728.0,97.36,7058840.0,143.96,2652037.0,54.09,2177980.0,44.42,9136.0,1863.0,87259.0,1.78
287,2021-10-26,Alabama,4779470.0,97.48,7069650.0,144.18,2653566.0,54.12,2179242.0,44.45,9345.0,1906.0,90226.0,1.84
288,2021-10-27,Alabama,4805213.0,98.0,7123260.0,145.28,2659115.0,54.23,2183682.0,44.54,11756.0,2398.0,106328.0,2.17
289,2021-10-28,Alabama,4827200.0,98.45,7163060.0,146.09,2663952.0,54.33,2187378.0,44.61,13482.0,2750.0,119985.0,2.45
290,2021-10-29,Alabama,4847422.0,98.86,7220460.0,147.26,2668028.0,54.41,2190701.0,44.68,14997.0,3059.0,133115.0,2.71
291,2021-10-30,Alabama,4866607.0,99.25,7264740.0,148.16,2672040.0,54.5,2194074.0,44.75,15237.0,3108.0,145269.0,2.96
292,2021-10-31,Alabama,4874827.0,99.42,7266450.0,148.2,2673656.0,54.53,2195532.0,44.78,15520.0,3165.0,150509.0,3.07
293,2021-11-01,Alabama,4884730.0,99.62,7263250.0,148.13,2676227.0,54.58,2197549.0,44.82,15857.0,3234.0,155963.0,3.18
294,2021-11-02,Alabama,4889817.0,99.73,7302580.0,148.94,2677664.0,54.61,2198533.0,44.84,15764.0,3215.0,158669.0,3.24
295,2021-11-03,Alabama,4912357.0,100.19,7316580.0,149.22,2682405.0,54.71,2202285.0,44.92,15306.0,3122.0,173053.0,3.53
296,2021-11-04,Alabama,4926067.0,100.47,7354360.0,149.99,2685449.0,54.77,2204677.0,44.96,14124.0,2881.0,181577.0,3.7
297,2021-11-05,Alabama,4939456.0,100.74,7401100.0,150.94,2688481.0,54.83,2207077.0,45.01,13148.0,2682.0,189925.0,3.87
298,2021-11-06,Alabama,4943879.0,100.83,7407740.0,151.08,2689496.0,54.85,2208029.0,45.03,11039.0,2251.0,192473.0,3.93
299,2021-11-07,Alabama,4960880.0,101.18,7423960.0,151.41,2693121.0,54.93,2211121.0,45.1,12293.0,2507.0,203008.0,4.14
300,2021-11-08,Alabama,4971453.0,101.39,7423960.0,151.41,2695826.0,54.98,2213458.0,45.14,12389.0,2527.0,208680.0,4.26
301,2021-11-09,Alabama,4974840.0,101.46,7456320.0,152.07,2696907.0,55.0,2214496.0,45.16,12146.0,2477.0,210032.0,4.28
302,2021-11-10,Alabama,4994724.0,101.87,7504060.0,153.04,2701228.0,55.09,2218371.0,45.24,11767.0,2400.0,222047.0,4.53
