"id","date","location","total_vaccinations","total_vaccinations_per_hundred","total_distributed","distributed_per_hundred","people_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated","people_fully_vaccinated_per_hundred","daily_vaccinations","daily_vaccinations_per_million","total_boosters","total_boosters_per_hundred","location_","latitude","longitude"
715,"2022-12-28","Alabama",6929554,141.33,11897230,242.64,3178492,64.83,2599499,53.02,1479,302,1319456,26.91,"Alabama",32.377716,-86.300568
1529,"2022-12-28","Alaska",1303955,178.25,2066295,282.46,532210,72.75,475125,64.95,332,454,338839,46.32,"Alaska",58.301598,-134.420212
3157,"2022-12-28","Arizona",14302488,196.5,19039550,261.58,5610927,77.09,4788266,65.78,3551,488,4242480,58.29,"Arizona",33.448143,-112.096962
3971,"2022-12-28","Arkansas",4803994,159.19,8034900,266.25,2101193,69.63,1710670,56.69,1046,347,1107336,36.69,"Arkansas",34.746613,-92.288986
5599,"2022-12-28","California",86604013,219.18,115820215,293.13,33317358,84.32,29388863,74.38,79661,2016,25997328,65.8,"California",38.576668,-121.493629
6413,"2022-12-28","Colorado",12765099,221.66,16867685,292.91,4799319,83.34,4217542,73.24,66,11,4064069,70.57,"Colorado",39.739227,-104.984856
7227,"2022-12-28","Connecticut",8883525,249.17,11421135,320.34,3636096,101.99,2950962,82.77,2504,702,2529768,70.96,"Connecticut",41.764046,-72.682198
8041,"2022-12-28","Delaware",2120412,217.75,3169595,325.5,853776,87.68,709932,72.91,9,9,614509,63.11,"Delaware",39.157307,-75.519722
11297,"2022-12-28","Florida",41494703,193.2,58979615,274.61,17630141,82.09,14852978,69.16,291,14,10389533,48.37,"Florida",30.438118,-84.281296
12111,"2022-12-28","Georgia",16829103,158.5,27477235,258.79,7235367,68.15,6061065,57.09,12723,1198,3859415,36.35,"Georgia",33.749027,-84.388229
13739,"2022-12-28","Hawaii",3451416,243.77,4448760,314.21,1289826,91.1,1150629,81.27,1087,768,1077041,76.07,"Hawaii",21.307442,-157.857376
14553,"2022-12-28","Idaho",2837380,158.77,4537400,253.9,1138463,63.71,1005909,56.29,801,448,775768,43.41,"Idaho",43.617775,-116.199722
15353,"2022-12-14","Illinois",26231591,207.01,36242535,286.01,9991032,78.84,8992675,70.97,16280,1285,7874583,62.14,"Illinois",39.798363,-89.654961
16995,"2022-12-28","Indiana",11008571,163.52,17931670,266.36,4320133,64.17,3877039,57.59,2126,316,3101432,46.07,"Indiana",39.768623,-86.162643
17809,"2022-12-28","Iowa",6014512,190.63,8902275,282.16,2221926,70.42,2024038,64.15,2911,923,1933246,61.27,"Iowa",41.591087,-93.603729
18623,"2022-12-28","Kansas",5282684,181.33,7960795,273.26,2210954,75.89,1894261,65.02,1493,512,1305157,44.8,"Kansas",39.048191,-95.677956
19437,"2022-12-28","Kentucky",7392531,165.47,11589155,259.4,3064611,68.6,2653934,59.4,1230,275,1888700,42.27,"Kentucky",38.186722,-84.875374
