id,location,total_vaccinations,total_vaccinations_per_hundred,total_distributed,distributed_per_hundred,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,total_boosters,total_boosters_per_hundred
0,Alabama,1112502265,22689.35,1722428570,35128.81,546742178,11150.76,444736421,9070.42,773953,157841,150473306,3068.85
1,Alaska,167993052,22964.09,228747645,31269.16,75416102,10309.19,66817104,9133.77,130727,178700,31870764,4356.62
2,Arizona,2115124661,29059.03,2606561140,35810.74,932195443,12807.12,785151488,10786.9,2021814,277772,456338648,6269.52
3,Arkansas,755842625,25046.07,1108293000,36725.08,360283171,11938.6,293552144,9727.33,553975,183564,122271314,4051.69
4,California,6478700142,16396.68,7887011845,19960.91,2823560645,7146.08,2456102099,6216.06,5670847,143520,1379825635,3492.17
5,Colorado,1918476299,33314.14,2257640430,39203.71,818836920,14219.1,723464972,12562.91,1628895,282855,432096375,7503.3
6,Connecticut,1348756471,37830.3,1567537305,43966.62,606357917,17007.29,501853844,14076.13,1224693,343500,281746167,7902.45
7,Delaware,322314743,33099.92,423851010,43527.09,144608820,14850.5,120013376,12324.8,297888,305912,67918447,6974.87
8,Florida,6605545459,30755.37,8508209590,39614.13,3012346550,14025.49,2543683383,11843.34,4687933,218265,1290242773,6007.37
9,Georgia,2611307993,24594.53,3830393695,36076.58,1220797827,11498.06,1019877298,9605.63,1938061,182537,426886314,4020.66
10,Hawaii,492787760,34804.54,591086100,41747.12,208668613,14737.86,186584967,13178.12,445321,314521,108531988,7665.37
11,Idaho,352329384,19715.52,496822270,27801.03,157528379,8814.92,138975141,7776.71,484655,271196,67638277,3784.89
12,Illinois,1329459783,10491.49,1661383120,13110.85,568111752,4483.24,506848851,3999.77,1546069,122010,291108737,2297.27
13,Indiana,1708397680,25376.42,2406861855,35751.32,741506193,11014.26,662309246,9837.93,1363770,202568,355231647,5276.59
14,Iowa,914923102,28998.49,1193414875,37825.29,384460196,12185.42,349785672,11086.47,672396,213116,209913258,6653.18
15,Kansas,324513345,11138.95,442561485,15191.02,150772750,5175.34,126185669,4331.37,362947,124586,56394231,1935.7
16,Kentucky,1166132440,26101.57,1593737920,35672.63,529188647,11844.79,458178935,10255.36,806701,180567,216576832,4847.63
17,Louisiana,1114653032,23977.21,1473530980,31697.01,507240521,10911.28,443855879,9547.77,744835,160220,195798166,4211.73
18,Maine,442757452,32938.05,537537050,39989.06,189566375,14102.4,166174622,12362.19,431757,321201,107523838,7999.08
19,Maryland,2067147762,34192.11,2750451720,45494.5,898185053,14856.63,783550125,12960.55,2040331,337486,441600615,7304.45
20,Massachusetts,2539501832,36844.44,2932520765,42546.51,1158261396,16804.63,931366002,13512.7,2382963,345740,515299303,7476.16
21,Michigan,2793649219,27973.27,3779919980,37848.99,1183709574,11852.66,1061475397,10628.72,2363941,236711,623094002,6239.2
22,Minnesota,1848669068,32779.94,2291760695,40636.75,759706964,13470.85,697612439,12369.85,1671425,296372,450253209,7983.72
23,Mississippi,690396541,23197.68,993947170,33397.15,317252309,10659.81,275308822,9250.47,526911,177047,113211404,3803.87
24,Missouri,1600750639,26081.81,2088713150,34032.4,727490033,11853.31,615438268,10027.6,1135853,185072,300391638,4894.41
25,Montana,282503026,26432.3,355328085,33246.29,124251466,11625.55,107969314,10102.16,198305,185545,60075136,5620.94
26,Nebraska,571650963,29551.75,716136110,37020.99,243414965,12583.42,219605340,11352.57,445507,230313,124473579,6434.74
27,Nevada,807216542,26207,981809970,31875.22,385219419,12506.47,310812470,10090.81,665453,216047,140002128,4545.26
28,New Hampshire,38513706,2832.5,64847400,4769.21,16380782,1204.72,13411223,986.32,47846,35188,9841169,723.77
29,New Jersey,3042558365,34254.55,3936145145,44314.97,1426363793,16058.66,1191665272,13416.3,2735575,307982,516276597,5812.51
30,New Mexico,701344897,33447.98,804286300,38357.26,328529952,15667.95,266009467,12686.29,652820,311342,126448521,6030.37
31,New York State,6978487568,35872.49,8273012225,42526.98,3137682073,16129.12,2671041956,13730.37,5948204,305764,1394304059,7167.38
32,North Carolina,2986111840,28471.54,3965967810,37814.08,1578734335,15052.68,1144939155,10916.56,2331734,222325,349107079,3328.56
33,North Dakota,195635330,25671.81,248319180,32585.13,88819930,11655.18,75087405,9853.24,121802,159838,38248527,5019.09
34,Ohio,2595626307,22205.54,3389631405,28998.26,1084908469,9281.38,994724017,8509.82,2138466,182942,596660536,5104.45
35,Oklahoma,1054935356,26660.07,1313934800,33205.62,503048845,12712.99,404264369,10216.49,743661,187937,173333401,4380.44
36,Oregon,1386899958,32882.58,1815476075,43043.85,588638827,13956.25,525632808,12462.52,1263233,299509,316944193,7514.49
37,Pennsylvania,4100235549,32028.11,5495588010,42927.62,1942932493,15176.75,1565507737,12228.7,3714702,290165,721312742,5634.45
38,Rhode Island,394228196,37213.7,467435755,44124.34,185347063,17496.1,155134376,14644.15,345185,325837,64531600,6091.53
39,South Carolina,1326884202,25771.12,1869891420,36317.56,615689334,11958.07,518005882,10060.87,1005220,195236,229979088,4466.71
40,South Dakota,252500562,28542.15,338162905,38225.25,121211696,13701.51,97069768,10972.51,205385,232156,41208989,4658.12
41,Tennessee,1762368987,25806.46,2300800680,33690.72,755404371,11061.46,660598351,9673.27,1264775,185200,388278915,5685.57
42,Texas,5817052745,20061.64,7852993250,27083.13,2676632253,9231.11,2253366729,7771.38,5875842,202648,1058957320,3652.16
43,Utah,917452685,28617.12,1117718820,34863.76,408552116,12743.51,362207933,11297.97,817349,254950,176696253,5511.58
44,Vermont,197730197,31688.07,253774720,40669.72,81752080,13101.5,70776039,11342.44,189575,303810,51819650,8304.57
45,Virginia,2818237384,33017.76,3402513100,39862.94,1256711781,14723.35,1070860018,12545.96,2498735,292744,568886704,6664.93
46,Washington,2413744090,31697.72,3008111555,39502.97,1033590247,13573.21,925237434,12150.32,2344644,307910,530922275,6972.17
47,West Virginia,486961929,27172.02,732349680,40864.31,208702664,11645.4,184782743,10310.71,306455,171003,104401622,5825.46
48,Wisconsin,1836052701,31534.09,2104453480,36143.9,749882457,12879.13,682316633,11718.76,1568762,269441,457739932,7861.69
49,Wyoming,85772486,14820.04,113854705,19672.21,38680162,6683.27,33705628,5823.75,65003,112316,16427633,2838.44
